Object,Band,mag_5kpc,e_5kpc,magerr_5kpc,zerr_5kpc,npix_5kpc,mag_10kpc,e_10kpc,magerr_10kpc,zerr_10kpc,npix_10kpc,mag_15kpc,e_15kpc,magerr_15kpc,zerr_15kpc,npix_15kpc,mag_30kpc,e_30kpc,magerr_30kpc,zerr_30kpc,npix_30kpc
SN2007le,NUV,16.047569956916846,2.0231851735211452,2.023146851869794,0.012452394353237521,1214,15.165135087746776,2.557295112796641,2.55718364588817,0.02387666508688436,4785,14.831471834016986,2.7683397101519662,2.7683364268342943,0.004263644755939809,10719,14.33793871564073,3.17172083508584,3.171713124532478,0.0069936675673579664,42673
LSQ13crf,FUV,20.505897093206894,0.8023149394114273,0.8023149394114273,0.0,29,19.53489010972412,0.1802921575118323,0.1802921575118323,0.0,105,19.38625023952275,0.07726161602677158,0.07159525352513052,0.029042675216663042,231,18.725636809767682,0.5890206886957212,0.5889695107273287,0.007764479711652377,892
LSQ13crf,NUV,20.363819533790338,0.14190976689517057,0.14190976689517057,0.0,29,19.421329574767327,0.3917989746740142,0.3917989746740142,0.0,105,19.25885842472574,0.5714921111514015,0.571076602534729,0.021788693069502027,231,18.612166474268466,1.0310240406032543,1.031009795808734,0.005419709244337725,892
LSQ12fmx,FUV,24.435805514850863,2.4502067001918864,2.4502067001918864,0.0,16,21.80198169053637,1.304593736442103,1.304593356513981,0.0009956422812158988,61,20.84839981870297,0.8109470422236326,0.8109470422236326,0.0,128,19.957284369955637,0.28448155876043685,0.2844810666433584,0.0005291466951251321,493
LSQ12fmx,NUV,24.132900580967465,1.9864193511955766,1.9864193511955766,0.0,16,21.63735491423058,0.696234521015104,0.6962261315402984,0.00341789607249844,61,20.455659141480393,0.08493370001357996,0.08493370001357996,0.0,128,19.229883368667913,0.5498092948507569,0.5498082328126103,0.0010806644998092678,493
PS15aez,FUV,21.55311467666867,1.3665573383343343,1.3665573383343343,0.0,24,20.495735085262996,0.7649843735975176,0.7648830122115331,0.01245268961301406,92,20.15275102879084,0.4424637925773127,0.44245435134302025,0.002890453169727076,200,19.852798548969083,0.06272116958993824,0.061797033020463216,0.01072715361116698,764
PS15aez,NUV,21.14983688466692,0.5349184423334623,0.5349184423334623,0.0,24,20.206930698218706,0.05468096955893516,0.04832406076305058,0.025588934781936287,92,19.79941361543595,0.21264786505147243,0.2126360658304852,0.0022400935433130515,200,19.387890323885266,0.6449817337802927,0.6449192385545593,0.00897845490269334,764
PS1-14ra,NUV,19.747997036110565,0.17131373569279293,0.170073061625029,0.02058032425665844,76,18.293013991956546,0.893302419781928,0.893258651735045,0.008842753459054472,291,17.95237678362141,1.1136272878779596,1.1135789357316301,0.0103773889408527,646,17.74476080401671,1.5088989951176504,1.50889849765643,0.0012252498618449661,2519
SN2011gf,FUV,nan,2.124825074532228,2.124825074532228,0.0,78,nan,1.2992393037696537,1.2992393037696537,0.0,297,23.733856129293276,0.8573629673938854,0.8525027021938143,0.09116139868767596,664,20.051050551382115,0.17458624314183538,0.17073412462758125,0.03647211238787266,2622
SN2011gf,NUV,24.52405360952256,1.4282102886165293,1.4282102886165293,0.0,78,22.719288259344793,0.6852628775857977,0.6852628775857977,0.0,297,21.76498532025936,0.23554146821672817,0.2349410706941091,0.016807038727794637,664,18.284561832610652,1.1895917660535933,1.1894934652481635,0.015292677804203582,2622
